epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.993,4.5367,3.96539,1.75013,0,0,0,0,5.15914,4.15145,2.04113,3.334e-05,3.334e-05,3.334e-05
2,73.3633,4.23931,3.91367,1.53025,0.00017,0.00011,8e-05,2e-05,4.48805,3.98019,1.52176,8.00493e-05,8.00493e-05,8.00493e-05
3,104.313,3.71651,3.84093,1.30274,0.01322,0.0147,0.0067,0.00152,3.53766,3.83361,1.1135,0.000122798,0.000122798,0.000122798
4,137.951,3.35596,3.71434,1.16064,0.00118,0.00218,0.00059,0.00011,3.42456,3.84898,1.07366,0.000161586,0.000161586,0.000161586
5,171.099,3.18901,3.56331,1.11432,0.00393,0.00479,0.00224,0.00046,3.2341,3.84099,1.03518,0.000196413,0.000196413,0.000196413
6,204.876,3.03728,3.36961,1.06054,0.00732,0.01147,0.00394,0.00084,3.0864,3.80276,1.01254,0.000227279,0.000227279,0.000227279
7,235.404,2.96862,3.2133,1.03487,0.00245,0.00355,0.00125,0.00032,3.13431,3.79019,1.01455,0.000254184,0.000254184,0.000254184
8,266.715,2.95222,3.09473,1.01394,0.00162,0.00182,0.00085,0.00015,3.25318,3.79526,1.02281,0.000277129,0.000277129,0.000277129
9,299.78,2.99623,2.99947,1.01597,0.00119,0.00242,0.0006,9e-05,3.41226,3.79356,1.04895,0.000296113,0.000296113,0.000296113
10,333.453,2.93766,2.93307,1.01615,0.00172,0.00346,0.00087,0.00016,3.28321,3.76372,1.04147,0.000311136,0.000311136,0.000311136
11,363.927,2.87328,2.77771,1.00362,0.00279,0.00471,0.00141,0.00024,3.18262,3.6933,1.01519,0.000322198,0.000322198,0.000322198
12,398.976,2.93544,2.72531,0.99952,0.00229,0.00368,0.00116,0.00028,3.31499,3.66882,1.01583,0.000329299,0.000329299,0.000329299
13,429.93,2.76206,2.61199,0.98837,0.0039,0.00702,0.00198,0.00047,3.11723,3.61392,0.99732,0.00033244,0.00033244,0.00033244
14,463.978,2.86008,2.50274,0.98464,0.00398,0.00702,0.00202,0.00058,3.04474,3.58754,0.99335,0.00033162,0.00033162,0.00033162
15,497.459,2.75725,2.40949,0.98228,0.01354,0.01866,0.00726,0.00156,3.17511,3.53285,1.00239,0.000326839,0.000326839,0.000326839
16,520.722,2.64873,2.13751,0.97173,0.02394,0.03344,0.01413,0.00411,3.08142,3.47827,0.99506,0.000318097,0.000318097,0.000318097
17,545.249,2.59436,2.07808,0.9831,0.0591,0.09581,0.03645,0.01214,2.71243,3.36692,0.97723,0.000305394,0.000305394,0.000305394
18,570.726,2.62607,1.95503,0.98787,0.07375,0.11488,0.04777,0.01533,2.65837,3.31183,0.97382,0.000288731,0.000288731,0.000288731
19,594.574,2.5189,1.94801,0.98046,0.08686,0.12224,0.06046,0.01859,2.63929,3.2656,0.9722,0.000268107,0.000268107,0.000268107
20,617.159,2.42067,1.90692,0.97796,0.09666,0.12907,0.06821,0.02134,2.64236,3.21892,0.97175,0.000243522,0.000243522,0.000243522
21,640.331,2.54283,1.81445,0.98216,0.10725,0.13669,0.0754,0.02302,2.67636,3.17258,0.97222,0.000214976,0.000214976,0.000214976
22,663.729,2.53241,1.72455,0.976,0.11432,0.14208,0.07989,0.02447,2.72828,3.12583,0.97409,0.00018247,0.00018247,0.00018247
23,686.525,2.55253,1.69406,0.96376,0.12128,0.14713,0.08388,0.02567,2.7934,3.08022,0.97703,0.000146003,0.000146003,0.000146003
24,710.177,2.46034,1.77546,0.97917,0.13075,0.15525,0.09091,0.02732,2.81629,3.03594,0.97736,0.000105574,0.000105574,0.000105574
25,732.565,2.532,1.66646,0.98088,0.14303,0.17089,0.10206,0.0309,2.79909,2.98329,0.97479,6.11856e-05,6.11856e-05,6.11856e-05
