epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6542,4.04844,3.89206,2.18296,0,0,0,0,4.11095,3.92663,2.07723,6.668e-05,6.668e-05,6.668e-05
2,27.1135,3.40781,3.78083,1.67934,0.00463,0.00634,0.00237,0.00051,3.3676,3.77573,1.52651,0.000147059,0.000147059,0.000147059
3,39.4015,2.74415,3.49292,1.36106,0.00645,0.01647,0.00334,0.00091,3.05677,3.83816,1.57398,0.000224138,0.000224138,0.000224138
4,46.6754,2.58469,3.09983,1.27926,0.01032,0.03936,0.00705,0.00139,2.72238,3.70049,1.41129,0.000297916,0.000297916,0.000297916
5,58.2801,2.39617,2.85378,1.23336,0.00664,0.01995,0.00487,0.00136,2.5752,3.69114,1.37221,0.000368394,0.000368394,0.000368394
6,68.5489,2.38688,2.55747,1.17625,0.01111,0.03476,0.0078,0.0018,2.8396,3.62939,1.45586,0.00043557,0.00043557,0.00043557
7,77.3542,2.36909,2.35249,1.16592,0.07633,0.23702,0.12875,0.03833,2.37877,3.33879,1.21003,0.000499447,0.000499447,0.000499447
8,87.6688,2.31655,2.05544,1.19791,0.07342,0.24312,0.12796,0.03968,2.34498,3.27296,1.23135,0.000560022,0.000560022,0.000560022
9,94.9829,2.1752,1.72871,1.13426,0.16078,0.35445,0.21906,0.07335,2.3623,2.95069,1.21252,0.000617297,0.000617297,0.000617297
10,107.501,2.32961,1.6333,1.18142,0.14858,0.34488,0.20263,0.07667,2.65172,2.77878,1.29165,0.000671271,0.000671271,0.000671271
11,125.377,2.27477,1.51024,1.15971,0.2244,0.48055,0.34239,0.1359,2.40144,2.58494,1.21996,0.000721944,0.000721944,0.000721944
12,136.808,2.27193,1.46224,1.17145,0.24964,0.50513,0.33466,0.12742,2.44901,2.44248,1.23514,0.000769317,0.000769317,0.000769317
13,150.947,2.31424,1.51658,1.16796,0.29682,0.56856,0.42228,0.1783,2.32529,2.3007,1.20012,0.000813389,0.000813389,0.000813389
14,159.134,2.17344,1.40254,1.1686,0.38507,0.6379,0.50236,0.2228,2.23191,2.09172,1.17596,0.000854161,0.000854161,0.000854161
15,169.22,2.22355,1.37303,1.16609,0.32518,0.5524,0.41539,0.15627,2.55585,1.9574,1.2821,0.000891632,0.000891632,0.000891632
16,176.324,2.23746,1.4587,1.18829,0.3195,0.55473,0.41337,0.15524,2.53915,1.89811,1.28981,0.000925802,0.000925802,0.000925802
17,182.064,2.10053,1.33323,1.16646,0.45304,0.66892,0.55558,0.25137,2.17633,1.69702,1.18207,0.000956671,0.000956671,0.000956671
18,189.735,2.17996,1.33962,1.17904,0.46545,0.66474,0.55762,0.25266,2.15547,1.61336,1.17365,0.00098424,0.00098424,0.00098424
19,206.816,2.28918,1.37008,1.17199,0.46011,0.61053,0.52898,0.23964,2.19642,1.53853,1.1857,0.00100851,0.00100851,0.00100851
20,217.55,2.12411,1.31497,1.13213,0.52958,0.53455,0.49938,0.20628,2.41279,1.50724,1.26368,0.00102948,0.00102948,0.00102948
21,225.253,2.07751,1.26694,1.12972,0.55001,0.5776,0.52902,0.23574,2.21009,1.46427,1.19585,0.00100687,0.00100687,0.00100687
22,233.405,2.0543,1.28402,1.1425,0.56992,0.61786,0.56725,0.26679,2.08938,1.40216,1.15498,0.000973861,0.000973861,0.000973861
23,240.25,2.07483,1.27935,1.15087,0.52899,0.62806,0.56684,0.26234,2.11064,1.37789,1.16383,0.000940855,0.000940855,0.000940855
24,243.427,2.04749,1.27295,1.13654,0.50708,0.61417,0.57037,0.26902,2.04058,1.33884,1.16192,0.000907848,0.000907848,0.000907848
25,247.356,1.99089,1.21369,1.12384,0.50032,0.61645,0.57333,0.27704,2.03571,1.32938,1.15845,0.000874842,0.000874842,0.000874842
26,259.421,1.97862,1.2468,1.11865,0.51215,0.61393,0.57274,0.27433,2.03918,1.32825,1.15331,0.000841835,0.000841835,0.000841835
27,266.995,2.04009,1.23807,1.11499,0.5449,0.61527,0.57548,0.27552,2.02334,1.32787,1.14697,0.000808828,0.000808828,0.000808828
28,271.818,1.9874,1.23654,1.13517,0.56039,0.60292,0.57528,0.28156,2.05543,1.32118,1.15456,0.000775822,0.000775822,0.000775822
29,279.939,1.98098,1.23631,1.09246,0.55707,0.62124,0.58981,0.29171,2.01637,1.30896,1.1397,0.000742815,0.000742815,0.000742815
30,284.572,2.02463,1.24267,1.11302,0.52188,0.60833,0.57838,0.27055,2.07118,1.32618,1.14776,0.000709809,0.000709809,0.000709809
31,292.888,1.97307,1.22687,1.13211,0.50291,0.62492,0.58107,0.27527,2.04978,1.31961,1.13921,0.000676802,0.000676802,0.000676802
32,302.204,1.94708,1.17539,1.09642,0.53415,0.60995,0.57381,0.27903,2.02194,1.30986,1.14443,0.000643795,0.000643795,0.000643795
33,316.808,1.94134,1.17178,1.08423,0.55515,0.60057,0.57579,0.27526,2.0473,1.30274,1.15122,0.000610789,0.000610789,0.000610789
34,320.984,1.94018,1.19005,1.11246,0.58551,0.60957,0.60138,0.29864,1.99469,1.27285,1.13063,0.000577782,0.000577782,0.000577782
35,329.961,1.94527,1.20214,1.10392,0.59859,0.62163,0.62299,0.30174,1.98954,1.26282,1.13635,0.000544776,0.000544776,0.000544776
36,345.283,1.98284,1.16821,1.09422,0.59134,0.60876,0.63241,0.31191,1.96762,1.27117,1.12032,0.000511769,0.000511769,0.000511769
37,351.702,1.88448,1.18015,1.09847,0.60214,0.58144,0.63386,0.31648,1.96456,1.27023,1.11767,0.000478762,0.000478762,0.000478762
38,364.133,1.91289,1.12805,1.0812,0.62635,0.59162,0.6386,0.3236,1.95915,1.25889,1.11396,0.000445756,0.000445756,0.000445756
39,372.449,1.86108,1.15589,1.08263,0.65253,0.57866,0.63843,0.31847,1.98221,1.25778,1.12123,0.000412749,0.000412749,0.000412749
40,381.354,1.92341,1.19345,1.10402,0.68622,0.5743,0.65699,0.33211,1.9466,1.23964,1.103,0.000379743,0.000379743,0.000379743
41,409.95,1.86036,1.24932,1.12848,0.69287,0.57748,0.66512,0.33653,1.93536,1.23345,1.09694,0.000346736,0.000346736,0.000346736
42,412.696,1.85433,1.23955,1.09333,0.68368,0.59002,0.66987,0.33977,1.93376,1.22987,1.09253,0.000313729,0.000313729,0.000313729
43,415.447,1.88817,1.2198,1.105,0.63464,0.60076,0.66194,0.33681,1.9501,1.24583,1.09917,0.000280723,0.000280723,0.000280723
44,418.239,1.87194,1.17156,1.09852,0.62597,0.60073,0.66141,0.33778,1.92483,1.25208,1.09564,0.000247716,0.000247716,0.000247716
45,420.977,1.81476,1.18152,1.08484,0.66865,0.58956,0.67029,0.35124,1.90525,1.23571,1.08559,0.00021471,0.00021471,0.00021471
46,423.691,1.82512,1.18043,1.09361,0.71243,0.58319,0.6778,0.35771,1.9068,1.2236,1.0838,0.000181703,0.000181703,0.000181703
47,426.461,1.84354,1.17001,1.08469,0.74308,0.58051,0.68715,0.36103,1.9095,1.21134,1.08297,0.000148696,0.000148696,0.000148696
48,429.222,1.80132,1.12298,1.06562,0.763,0.58536,0.69443,0.36492,1.91816,1.19712,1.08349,0.00011569,0.00011569,0.00011569
49,431.959,1.79276,1.1344,1.07264,0.77962,0.58736,0.69937,0.36714,1.91828,1.19126,1.08334,8.26832e-05,8.26832e-05,8.26832e-05
50,434.727,1.77902,1.12364,1.06209,0.79043,0.58939,0.70426,0.36987,1.91585,1.18545,1.0816,4.96766e-05,4.96766e-05,4.96766e-05
